DBA Name,Street Address,Yelp Name,Price Level,Rating,Review Count,Top Yelp Category,Is Closed,Yelp Address,Zipcode,Supervisor District,Neighborhood,Business Start Date,Business End Date,Location Start Date,Location End Date,Yelp ID
La Loma Produce #8,2840 Mission St,La Loma Produce No 8,$,4,12,Grocery,FALSE,2840 Mission St,94110.0,,,6/16/15,,6/16/15,,UdEsMHA4MlJyCLPDCubNoQ
Les Croissant,2 California St,Les Croissants,$,3.5,288,Coffee & Tea,TRUE,2 California St,94111.0,3.0,Financial District/South Beach,7/1/02,8/18/15,7/1/02,8/18/15,b1jiTGSvQcVWULo30j9SNg
Les Croissant,2 California St,Les Croissants,$,3.5,288,Coffee & Tea,TRUE,2 California St,94111.0,,,8/21/15,8/31/16,8/21/15,8/31/16,b1jiTGSvQcVWULo30j9SNg
Les Croissants Cafe,1840 Geary Blvd,Les Croissants Cafe,$,3.5,41,Coffee & Tea,FALSE,1840 Geary Blvd,94115.0,5.0,Japantown,7/1/02,8/18/15,6/1/05,8/18/15,8_v6827KBE-fWDDvAFJ_wg
Les Croissants Cafe,1840 Geary Blvd,Les Croissants Cafe,$,3.5,41,Coffee & Tea,FALSE,1840 Geary Blvd,94115.0,,,8/18/15,,8/18/15,,8_v6827KBE-fWDDvAFJ_wg
Jitra Thai Cuisine,2545 Ocean Ave,Ocean Thai,$$,4,120,Thai,FALSE,2545 Ocean Ave,94132.0,7.0,West of Twin Peaks,7/1/02,11/30/17,7/1/02,11/30/17,OC_Z6gunpUXuak8ruZsjVg
Little Paris Coffee Shop,1131 Stockton St,Little Paris,$,3,95,Vietnamese,FALSE,1131 Stockton St,94108.0,3.0,Chinatown,10/1/02,9/1/18,12/1/12,9/1/18,Gzu4KCCoSf0Jqox5km6fyA
Pizzeria Avellino,2769 Lombard St,Pizzeria Avellino,$,3.5,335,Pizza,FALSE,2769 Lombard St,94123.0,,,10/1/02,3/18/18,12/30/13,3/18/18,YGdCt1nVHcQCCDVCCRmS6A
Pizzeria Avellino,2769 Lombard St,Pizzeria Avellino,$,3.5,335,Pizza,FALSE,2769 Lombard St,94123.0,,,1/11/18,,1/11/18,,YGdCt1nVHcQCCDVCCRmS6A
Blossom Bakery,133 Waverly Pl,Blossom Bakery,$,4,27,Coffee & Tea,FALSE,133 Waverly Pl,94108.0,3.0,Chinatown,1/2/03,11/30/15,8/1/08,11/30/15,iPiJ3g8WsbZYL2V9MQf5Hw
