DBA Name,Street Address,Yelp Name,Price Level,Rating,Review Count,Top Yelp Category,Is Closed,Yelp Address,Zipcode,Neighborhood
Sweet Basil,3221 Mission St,Sweet Basil Thai Cuisine,$$,3.5,348,Thai,FALSE,3221 Mission St,94110,Bernal Heights
Las Cocineras Restaurant,2341 Folsom St,Las Cocineras Restaurant,$,3.5,21,Mexican,FALSE,2341 Folsom St,94110,Mission
The Tradesman,753 Alabama St,True Laurel,$$,4,184,Cocktail Bars,FALSE,753 Alabama St,94110,Mission
Cafe Capriccio,2200 Mason St,Caffe Capriccio,$,4,394,Breakfast & Brunch,FALSE,2200 Mason St,94133,North Beach
Scarlett,398 Geary St,Benjamin Cooper,$$,4.5,371,Cocktail Bars,FALSE,398 Geary St,94102,Tenderloin
Eternal Springs,750 Clement St,Mai Mai Sandwich & Bakery,No record in Yelp,4.5,17,Sandwiches,FALSE,750 Clement St,94118,Inner Richmond
Oriental Pearl Restaurant,760 Clay St,Oriental Pearl Restaurant,$$,3.5,445,Dim Sum,FALSE,760 Clay St,94108,Chinatown
Assab,2845 Geary Blvd,Assab Eritrean Restaurant,$$,4,660,Ethiopian,TRUE,2845 Geary Blvd,94118,Lone Mountain/USF
Dotties True Blue Cafe,28 6th St,Dottie's True Blue Cafe,$$,4,4491,American (Traditional),FALSE,28 6th St,94103,South of Market
Zarzuela,2000 Hyde St,Abrazo,No record in Yelp,4.5,58,Spanish,FALSE,2000 Hyde St,94109,
Yous Dim Sum Restaurant,675 Broadway St,Dim Sum Bistro,$,4.5,153,Dim Sum,FALSE,675 Broadway St,94133,
Jamba Juice,22 Battery St,Jamba Juice,$,3.5,119,Juice Bars & Smoothies,FALSE,22 Battery St,94111,Financial District/South Beach
Front Door Cafe,1 Front St,Front Door Cafe,$,4,281,Delis,FALSE,1 Front St,94111,Financial District/South Beach
Kim Thanh Restaurant,607 Geary St,Kim Thanh Restaurant,$$,4,585,Chinese,TRUE,607 Geary St,94102,Tenderloin
Firewood Cafe The,4248 18th St,Firewood Cafe,$$,3.5,273,Italian,TRUE,4248 18th St,94114,Castro/Upper Market
Village Pizzeria Van Ness,1243 Van Ness Ave,Village Pizzeria,$$,3.5,323,Pizza,FALSE,1243 Van Ness Ave,94109,Western Addition
El Trebol Bar #3,3149 22nd St,El Trebol Bar No 3,$,3,20,Dive Bars,TRUE,3149 22nd St,94110,Mission
Buttermilk Southern Kitchen,2848 23rd St,Buttermilk Southern Kitchen,$$,4,574,Cajun/Creole,TRUE,2848 23rd St,94110,
Mustafio's Pizza,1116 Polk St,Mustafio's Pizza,$,3.5,229,Pizza,FALSE,1116 Polk St,94109,
Cafe Flore,2298 Market St,Flore,$$,3.5,1137,Breakfast & Brunch,FALSE,2298 Market St,94114,
Equator Coffees & Teas,986 Market St,Equator Coffees,$$,4,155,Coffee & Tea,FALSE,986 Market St,94102,
Charin,2124 Folsom St,Charin,$$$$,4,13,American (New),FALSE,2124 Folsom St,94110,
Ichi Kakiya,3369 Mission St,ICHI Sushi,$$$,3.5,395,Japanese,FALSE,3369 Mission St,94110,
Grill Spot,2311 Clement St,Grill Spot,$$,4,157,Asian Fusion,TRUE,2311 Clement St,94121,
Mekong Kitchen,4039 18th St,Rooster & Rice,$$,4,26,Chicken Shop,FALSE,4039 18th St,94114,
Native Juice Co.,168 Sutter St,Native Co.,$$,4,227,Juice Bars & Smoothies,FALSE,168 Sutter St,94104,
Little Beijing  Restaurant,1316 Noriega St,Little Beijing Restaurant,$,3.5,193,Chinese,TRUE,1316 Noriega St,94122,Sunset/Parkside
Saha,1075 Sutter St,Saha,$$,4.5,60,Middle Eastern,FALSE,1075 Sutter St,94109,Nob Hill
Fishermans Grotto #9,2847 Taylor St,The Grotto,$$$,3,220,Seafood,FALSE,2847 Taylor St,94133,North Beach
Wings Plus,533 Jones St,Halal Wings Plus,$$,4,441,Burgers,FALSE,533 Jones St,94102,
Peoples Cafe,1419 Haight St,People's Bistro,$$,4,172,Chinese,TRUE,1419 Haight St,94117,
Project Juice,364 Hayes St,Project Juice,$$,4,115,Coffee & Tea,FALSE,364 Hayes St,94102,
Tataki Sushi And Sake Bar,2827 California St,Tataki,$$,4,1273,Sushi Bars,FALSE,2827 California St,94115,Pacific Heights
Luna Express,350 2nd St,Luna Express,$,4.5,8,Food Trucks,TRUE,350 2nd St,94107,Financial District/South Beach
Sam Wo Restaurant & Bakery,713 Clay St,Sam Wo Restaurant,$,3.5,1045,Chinese,FALSE,713 Clay St,94108,Chinatown
Golden Boy Wholesale Pizza,4531 Mission St,Golden Boy Wholesale Pizza Company,No record in Yelp,5,1,Pizza,TRUE,4531 Mission St,94112,
Streat Fleet,428 11th St,SoMa StrEat Food Park,$$,4.5,874,Food Trucks,FALSE,428 11th St,94105,
Benjamin Cooper,398 Geary St,Benjamin Cooper,$$,4.5,371,Cocktail Bars,FALSE,398 Geary St,94102,Tenderloin
Can Tho Coffee Shop,411 Ellis St,Can Tho Coffee,$,4,3,Vietnamese,TRUE,411 Ellis St,94102,
398 Brasserie,398 Geary St,Benjamin Cooper,$$,4.5,371,Cocktail Bars,FALSE,398 Geary St,94102,Tenderloin
Lagniappe's,3251 20th Ave,Lagniappes New Orleans Cuisine,$$,5,2,Caterers,TRUE,3251 20th Ave,94122,
Our Poke Place,3515 20th St,Our Poke Place,$$,4,183,Hawaiian,TRUE,3515 20th St,94110,
Les Croissant,2 California St,Les Croissants,$,3.5,288,Coffee & Tea,TRUE,2 California St,94111,
